代码,名称,实施日期,实施前简称,实施后简称,实施ST原因,证监会行业,Wind行业,证券类型
000540.SZ,中天城投,2006/4/25,世纪中天,*ST中天,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind房地产,A股
600173.SH,卧龙地产,2006/4/25,牡丹江,*ST丹江,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind房地产,A股
000757.SZ,*ST方向,2006/4/24,方向光电,*ST方向A,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600076.SH,*ST华光,2006/4/21,青鸟华光,*ST华光,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,A股
000779.SZ,ST派神,2006/4/21,三毛派神,*ST派神,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind耐用消费品与服装,A股
600890.SH,*ST中房,2006/4/21,中房股份,*ST中房,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind房地产,A股
000004.SZ,*ST国农,2006/4/21,国农科技,*ST国农,最近两个会计年度的审计结果显示的净利润均为负值,交通运输、仓储业,Wind制药、生物科技与生命科学,A股
000967.SZ,上风高科,2006/4/17,上风高科,*ST上风,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
000979.SZ,*ST科苑,2006/4/14,科苑集团,*ST科苑,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
600705.SH,S*ST北亚,2006/4/11,北亚集团,*ST北亚,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind资本货物,A股
000748.SZ,长城信息,2006/3/31,长城信息,*ST信息,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,A股
600576.SH,万好万家,2006/3/27,庆丰股份,*ST庆丰,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind消费者服务Ⅱ,A股
000509.SZ,SST华塑,2006/3/21,同人华塑,*ST华塑,最近两个会计年度的审计结果显示的净利润均为负值,农、林、牧、渔业,Wind资本货物,A股
600313.SH,*ST中农,2006/3/8,中农资源,ST中农,被注册会计师出具无法表示意见或否定意见的审计报告,农、林、牧、渔业,Wind资本货物,A股
000918.SZ,*ST亚华,2006/3/1,亚华控股,*ST亚华,最近两个会计年度的审计结果显示的净利润均为负值,农、林、牧、渔业,Wind食品、饮料与烟草,A股
000517.SZ,*ST成功,2006/1/5,甬成功,*ST成功,在规定期限内未对存在重大会计差错或虚假财务会计报告进行改正,房地产业,Wind房地产,A股
000719.SZ,S*ST鑫安,2005/11/14,焦作鑫安,ST鑫安,出现其它异常状况，实施特别处理,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
600816.SH,安信信托,2005/7/11,安信信托,*ST安信,追溯调整导致最近两年连续亏损,金融、保险业,Wind多元金融,A股
200041.SZ,*ST本实B,2005/7/1,深本实B,*ST本实B,在法定期限内未依法披露定期报告,医药、生物制品,Wind制药、生物科技与生命科学,B股
000035.SZ,ST科健,2005/7/1,中科健A,*ST科健,在法定期限内未依法披露定期报告,信息技术业,Wind技术硬件与设备,A股
000596.SZ,古井贡酒,2005/7/1,古井贡A,*ST古井A,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind食品、饮料与烟草,A股
200596.SZ,古井贡B,2005/7/1,古井贡B,*ST古井B,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind食品、饮料与烟草,B股
600181.SH,*ST云大,2005/5/10,云大科技,*ST云大,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
600772.SH,S*ST龙昌,2005/5/10,石油龙昌,ST龙昌,被注册会计师出具无法表示意见或否定意见的审计报告,,,A股
600515.SH,ST筑信,2005/5/10,第一投资,ST一投,被注册会计师出具无法表示意见或否定意见的审计报告,批发和零售贸易,Wind零售业,A股
000631.SZ,顺发恒业,2005/5/10,兰宝信息,*ST兰宝,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
600286.SH,S*ST国瓷,2005/5/10,国光瓷业,*ST国瓷,追溯调整导致最近两年连续亏损,,,A股
000034.SZ,*ST深泰,2005/5/10,深信泰丰,ST深泰,出现其它异常状况，实施特别处理,综合类,Wind资本货物,A股
600369.SH,西南证券,2005/5/10,长运股份,*ST长运,最近两个会计年度的审计结果显示的净利润均为负值,金融、保险业,Wind多元金融,A股
000863.SZ,*ST商务,2005/5/9,和光商务,ST商务,被注册会计师出具无法表示意见或否定意见的审计报告,信息技术业,Wind技术硬件与设备,A股
600092.SH,S*ST精密,2005/5/9,精密股份,*ST精密,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
000908.SZ,天一科技,2005/4/29,天一科技,*ST天一,追溯调整导致最近两年连续亏损,机械、设备、仪表,Wind资本货物,A股
000791.SZ,西北化工,2005/4/29,西北化工,*ST化工,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
000880.SZ,潍柴重机,2005/4/28,山东巨力,*ST巨力,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
000862.SZ,银星能源,2005/4/27,吴忠仪表,*ST仪表,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600213.SH,亚星客车,2005/4/27,亚星客车,*ST亚星,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
600767.SH,运盛实业,2005/4/26,运盛实业,*ST运盛,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000683.SZ,远兴能源,2005/4/25,天然碱,*ST天然,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
600187.SH,ST国中,2005/4/21,黑龙股份,*ST黑龙,最近两个会计年度的审计结果显示的净利润均为负值,电力、煤气及水的生产和供应业,Wind公用事业Ⅱ,A股
600199.SH,金种子酒,2005/4/20,金牛实业,*ST金牛,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind制药、生物科技与生命科学,A股
000622.SZ,S*ST恒立,2005/4/20,岳阳恒立,*ST恒立,追溯调整导致最近两年连续亏损,机械、设备、仪表,Wind汽车与汽车零部件,A股
000887.SZ,中鼎股份,2005/4/20,飞彩股份,ST飞彩,出现其它异常状况，实施特别处理,机械、设备、仪表,Wind汽车与汽车零部件,A股
000760.SZ,博盈投资,2005/4/14,博盈投资,*ST博盈,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
000856.SZ,*ST唐陶,2005/4/14,唐山陶瓷,*ST唐陶,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind耐用消费品与服装,A股
000813.SZ,天山纺织,2005/4/12,天山纺织,*ST天纺,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind耐用消费品与服装,A股
000993.SZ,闽东电力,2005/4/5,闽东电力,*ST闽电,最近两个会计年度的审计结果显示的净利润均为负值,电力、煤气及水的生产和供应业,Wind公用事业Ⅱ,A股
600065.SH,*ST联谊,2005/4/1,大庆联谊,*ST联谊,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
600762.SH,S*ST金荔,2005/3/30,金荔科技,ST金荔,出现其它异常状况，实施特别处理,,,A股
000650.SZ,仁和药业,2005/3/29,九江化纤,*ST九化,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
600086.SH,东方金钰,2005/3/29,多佳股份,*ST多佳,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind耐用消费品与服装,A股
000156.SZ,*ST嘉瑞,2005/3/22,嘉瑞新材,*ST嘉瑞,追溯调整导致最近两年连续亏损,石油、化学、塑胶、塑料,Wind资本货物,A股
600146.SH,大元股份,2005/2/24,大元股份,*ST大元,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
600659.SH,*ST花雕,2004/12/8,闽越花雕,*ST花雕,追溯调整导致最近两年连续亏损,,,A股
000583.SZ,S*ST托普,2004/8/4,托普软件,ST托普,出现其它异常状况，实施特别处理,,,A股
000736.SZ,ST重实,2004/7/26,重庆实业,ST重实,出现其它异常状况，实施特别处理,房地产业,Wind房地产,A股
600737.SH,中粮屯河,2004/7/26,新疆屯河,ST屯河,出现其它异常状况，实施特别处理,食品、饮料,Wind食品、饮料与烟草,A股
000805.SZ,*ST炎黄,2004/6/17,炎黄物流,ST炎黄,被注册会计师出具无法表示意见或否定意见的审计报告,信息技术业,Wind软件与服务,A股
600752.SH,*ST哈慈,2004/5/11,哈慈股份,*ST哈慈,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
900921.SH,丹科B股,2004/5/10,大盈B股,*ST大盈B,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,B股
000537.SZ,广宇发展,2004/5/10,南开戈德,*ST戈德,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind房地产,A股
600864.SH,哈投股份,2004/5/10,岁宝热电,ST岁宝,被注册会计师出具无法表示意见或否定意见的审计报告,电力、煤气及水的生产和供应业,Wind公用事业Ⅱ,A股
600788.SH,*ST达曼,2004/5/10,达尔曼,ST达尔曼,被注册会计师出具无法表示意见或否定意见的审计报告,,,A股
600844.SH,丹化科技,2004/5/10,大盈股份,*ST大盈,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
000799.SZ,酒鬼酒,2004/4/30,湘酒鬼,*ST酒鬼,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind食品、饮料与烟草,A股
000832.SZ,*ST龙涤,2004/4/30,龙涤股份,*ST龙涤,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
000552.SZ,靖远煤电,2004/4/30,长风特电,*ST长风,最近两个会计年度的审计结果显示的净利润均为负值,采掘业,Wind能源Ⅱ,A股
000691.SZ,*ST联油,2004/4/29,寰岛实业,ST寰岛,被注册会计师出具无法表示意见或否定意见的审计报告,综合类,Wind材料Ⅱ,A股
600700.SH,*ST数码,2004/4/28,数码测绘,*ST数码,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
000769.SZ,*ST大菲,2004/4/28,菲菲农业,*ST大菲,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
900951.SH,大化B股,2004/4/27,大化B股,*ST大化B,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,B股
000950.SZ,建峰化工,2004/4/27,民丰农化,*ST农化,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
600852.SH,*ST中川,2004/4/27,中川国际,*ST中川,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
600203.SH,福日电子,2004/4/27,福日股份,*ST福日,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
000931.SZ,中关村,2004/4/27,中关村,*ST中科,最近两个会计年度的审计结果显示的净利润均为负值,社会服务业,Wind房地产,A股
000020.SZ,深华发A,2004/4/27,深华发A,ST华发A,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,电子,Wind技术硬件与设备,A股
200020.SZ,深华发B,2004/4/27,深华发B,ST华发B,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,电子,Wind技术硬件与设备,B股
900941.SH,东信B股,2004/4/26,东信B股,*ST东信B,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,B股
600681.SH,S*ST万鸿,2004/4/26,万鸿集团,*ST万鸿,最近两个会计年度的审计结果显示的净利润均为负值,传播与文化产业,Wind资本货物,A股
000816.SZ,江淮动力,2004/4/26,江淮动力,*ST江力,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600776.SH,东方通信,2004/4/26,东方通信,*ST东信,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,A股
000587.SZ,SST光明,2004/4/26,光明家具,*ST光明,最近两个会计年度的审计结果显示的净利润均为负值,木材、家具,Wind耐用消费品与服装,A股
600240.SH,华业地产,2004/4/26,仕奇实业,*ST仕奇,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
600876.SH,ST洛玻,2004/4/26,洛阳玻璃,*ST洛玻,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600735.SH,新华锦,2004/4/23,兰陵陈香,*ST陈香,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,食品、饮料,Wind资本货物,A股
600077.SH,百科集团,2004/4/23,国能集团,*ST国能,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind资本货物,A股
600892.SH,*ST湖科,2004/4/23,湖大科教,*ST湖科,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,机械、设备、仪表,Wind资本货物,A股
600691.SH,ST东碳,2004/4/21,林凤控股,*ST林控,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600869.SH,三普药业,2004/4/21,三普药业,*ST三普,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000995.SZ,*ST皇台,2004/4/19,皇台酒业,*ST皇台,最近三年连续亏损,食品、饮料,Wind食品、饮料与烟草,A股
000766.SZ,通化金马,2004/4/13,通化金马,ST通金马,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000802.SZ,北京旅游,2004/3/30,京西旅游,*ST京西,最近两个会计年度的审计结果显示的净利润均为负值,社会服务业,Wind消费者服务Ⅱ,A股
600156.SH,华升股份,2004/3/18,益鑫泰,*ST鑫泰,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind耐用消费品与服装,A股
600335.SH,鼎盛天工,2004/3/18,中发展,*ST中发,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
000776.SZ,S延边路,2004/3/10,延边公路,*ST延路,最近两个会计年度的审计结果显示的净利润均为负值,交通运输、仓储业,Wind运输,A股
000049.SZ,德赛电池,2004/2/12,深万山A,ST万山,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,机械、设备、仪表,Wind技术硬件与设备,A股
600503.SH,华丽家族,2004/2/5,宏智科技,ST宏智,出现其它异常状况，实施特别处理,信息技术业,Wind房地产,A股
000827.SZ,*ST长兴,2004/1/15,长兴实业,*ST长兴,追溯调整导致最近两年连续亏损,,,A股
600090.SH,啤酒花,2003/11/25,啤酒花,ST啤酒花,出现其它异常状况，实施特别处理,食品、饮料,Wind食品、饮料与烟草,A股
600899.SH,*ST信联,2003/9/19,信联股份,ST信联,出现其它异常状况，实施特别处理,,,A股
600338.SH,ST珠峰,2003/8/29,珠峰摩托,ST珠峰,被注册会计师出具无法表示意见或否定意见的审计报告,金属、非金属,Wind材料Ⅱ,A股
600159.SH,大龙地产,2003/7/1,宁城老窖,*ST宁窖,在法定期限内未依法披露定期报告,食品、饮料,Wind房地产,A股
600751.SH,S*ST天海,2003/6/30,天津海运,ST天海,被注册会计师出具无法表示意见或否定意见的审计报告,交通运输、仓储业,Wind运输,A股
900938.SH,*ST天海B,2003/6/30,天海B股,ST天海B,被注册会计师出具无法表示意见或否定意见的审计报告,交通运输、仓储业,Wind运输,B股
200761.SZ,本钢板B,2003/6/27,本钢板B,ST板材B,被注册会计师出具无法表示意见或否定意见的审计报告,金属、非金属,Wind材料Ⅱ,B股
000761.SZ,本钢板材,2003/6/27,本钢板材,ST板材,被注册会计师出具无法表示意见或否定意见的审计报告,金属、非金属,Wind材料Ⅱ,A股
600847.SH,ST渝万里,2003/5/19,万里电池,ST渝万里,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,机械、设备、仪表,Wind资本货物,A股
000670.SZ,S*ST天发,2003/5/12,天发股份,*ST天发,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
600613.SH,永生数据,2003/5/12,永生数据,*ST永生,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,传播与文化产业,Wind制药、生物科技与生命科学,A股
900904.SH,永生B股,2003/5/12,永生B股,*ST永生B,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,传播与文化产业,Wind制药、生物科技与生命科学,B股
000660.SZ,*ST南华,2003/5/12,南华西,*ST南华,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,,,A股
600891.SH,SST秋林,2003/5/12,秋林集团,*ST秋林,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind零售业,A股
600615.SH,丰华股份,2003/5/12,丰华股份,*ST丰华,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind房地产,A股
000730.SZ,*ST环保,2003/5/12,环保股份,*ST环保,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,A股
600617.SH,ST联华,2003/5/12,联华合纤,ST联华,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,石油、化学、塑胶、塑料,Wind房地产,A股
900913.SH,ST联华B,2003/5/12,联华B股,ST联华B,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,石油、化学、塑胶、塑料,Wind房地产,B股
600781.SH,上海辅仁,2003/4/30,民丰实业,ST民丰,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,医药、生物制品,Wind制药、生物科技与生命科学,A股
600053.SH,中江地产,2003/4/30,江西纸业,ST江纸,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,房地产业,Wind房地产,A股
600672.SH,*ST华圣,2003/4/30,英豪科教,ST英教,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,A股
600878.SH,*ST北科,2003/4/30,北大科技,ST北科,被注册会计师出具无法表示意见或否定意见的审计报告,,,A股
000418.SZ,小天鹅A,2003/4/30,小天鹅A,ST天鹅A,追溯调整导致最近两年连续亏损,机械、设备、仪表,Wind耐用消费品与服装,A股
200992.SZ,中鲁B,2003/4/30,中鲁B,ST中鲁B,被注册会计师出具无法表示意见或否定意见的审计报告,农、林、牧、渔业,Wind食品、饮料与烟草,B股
200418.SZ,小天鹅B,2003/4/30,小天鹅B,ST天鹅B,追溯调整导致最近两年连续亏损,机械、设备、仪表,Wind耐用消费品与服装,B股
000927.SZ,一汽夏利,2003/4/29,一汽夏利,ST夏利,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
600766.SH,园城股份,2003/4/29,烟台发展,ST烟发,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,批发和零售贸易,Wind房地产,A股
600695.SH,大江股份,2003/4/29,大江股份,ST大江,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,食品、饮料,Wind食品、饮料与烟草,A股
000505.SZ,*ST珠江,2003/4/29,珠江控股,ST珠江,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,房地产业,Wind房地产,A股
600793.SH,ST宜纸,2003/4/29,宜宾纸业,ST宜纸,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,造纸、印刷,Wind材料Ⅱ,A股
200505.SZ,*ST珠江B,2003/4/29,珠江B,ST珠江B,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,房地产业,Wind房地产,B股
600769.SH,祥龙电业,2003/4/29,祥龙电业,ST祥龙,最近两个会计年度的审计结果显示的净利润均为负值,电力、煤气及水的生产和供应业,Wind材料Ⅱ,A股
000621.SZ,*ST比特,2003/4/29,比特科技,ST比特,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
900919.SH,大江B股,2003/4/29,大江B股,ST大江B,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,食品、饮料,Wind食品、饮料与烟草,B股
600758.SH,红阳能源,2003/4/29,金帝建设,ST金帝,最近两个会计年度的审计结果显示的净利润均为负值,建筑业,Wind公用事业Ⅱ,A股
600182.SH,S佳通,2003/4/28,桦林轮胎,ST桦林,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind汽车与汽车零部件,A股
000765.SZ,*ST华信,2003/4/28,华信股份,ST华信,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
600738.SH,兰州民百,2003/4/25,兰州民百,ST民百,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind零售业,A股
000718.SZ,苏宁环球,2003/4/24,吉林纸业,ST吉纸,被注册会计师出具无法表示意见或否定意见的审计报告,造纸、印刷,Wind房地产,A股
600190.SH,锦州港,2003/4/23,锦州港,ST锦州港,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,交通运输、仓储业,Wind运输,A股
900952.SH,锦港B股,2003/4/23,锦港B股,ST锦港B,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,交通运输、仓储业,Wind运输,B股
600313.SH,*ST中农,2003/4/23,中农资源,ST中农,追溯调整导致最近两年连续亏损,农、林、牧、渔业,Wind资本货物,A股
000529.SZ,*ST美雅,2003/4/22,粤美雅,ST美雅,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind食品、饮料与烟草,A股
000040.SZ,深鸿基,2003/4/18,深鸿基A,ST鸿基,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind房地产,A股
000561.SZ,S*ST长岭,2003/4/17,陕长岭A,ST长岭,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind耐用消费品与服装,A股
000555.SZ,ST太光,2003/4/17,太光电信,ST太光,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,信息技术业,Wind技术硬件与设备,A股
600234.SH,*ST天龙,2003/4/17,天龙集团,ST天龙,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind耐用消费品与服装,A股
000005.SZ,世纪星源,2003/4/16,世纪星源,ST星源,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind房地产,A股
000498.SZ,*ST丹化,2003/4/16,丹东化纤,ST丹化,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
000635.SZ,英力特,2003/4/15,民族化工,ST民化,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
200570.SZ,苏常柴B,2003/4/11,苏常柴B,ST常柴B,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,B股
000951.SZ,中国重汽,2003/4/11,小鸭电器,ST小鸭,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600139.SH,西部资源,2003/4/11,鼎天科技,ST鼎天,最近两个会计年度的审计结果显示的净利润均为负值,采掘业,Wind材料Ⅱ,A股
000570.SZ,苏常柴A,2003/4/11,苏常柴A,ST常柴A,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
000980.SZ,金马股份,2003/4/10,金马股份,ST金马,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
600385.SH,ST金泰,2003/4/9,山东金泰,ST金泰,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000409.SZ,ST泰格,2003/4/1,四通高科,ST四通,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
000801.SZ,四川湖山,2003/3/26,四川湖山,ST湖山,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,电子,Wind耐用消费品与服装,A股
000710.SZ,天兴仪表,2003/3/18,天兴仪表,ST天仪,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,机械、设备、仪表,Wind汽车与汽车零部件,A股
600760.SH,东安黑豹,2003/3/14,山东黑豹,ST黑豹,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600886.SH,国投电力,2003/3/10,国投电力,ST华靖,最近两个会计年度的审计结果显示的净利润均为负值,电力、煤气及水的生产和供应业,Wind公用事业Ⅱ,A股
600749.SH,西藏旅游,2003/3/10,西藏圣地,ST藏圣地,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,社会服务业,Wind资本货物,A股
600807.SH,天业股份,2003/3/7,济南百货,ST济百,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,批发和零售贸易,Wind房地产,A股
600784.SH,鲁银投资,2003/3/3,鲁银投资,ST鲁银,追溯调整导致最近两年连续亏损，最近一个会计年度股东权益低于注册资本,综合类,Wind材料Ⅱ,A股
000809.SZ,中汇医药,2003/2/24,第一纺织,ST一纺,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind制药、生物科技与生命科学,A股
600873.SH,五洲明珠,2003/2/21,西藏明珠,ST藏明珠,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
000695.SZ,滨海能源,2003/2/18,灯塔油漆,ST灯塔,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind公用事业Ⅱ,A股
600862.SH,南通科技,2002/7/19,纵横国际,ST纵横,"被注册会计师出具无法表示意见或否定意见的审计报告,交易所或中国证监会认定为财务状况异常",机械、设备、仪表,Wind资本货物,A股
600137.SH,浪莎股份,2002/7/16,长江控股,ST长控,交易所或中国证监会认定为财务状况异常,造纸、印刷,Wind耐用消费品与服装,A股
000594.SZ,国恒铁路,2002/7/2,内蒙宏峰,ST宏峰,被注册会计师出具无法表示意见或否定意见的审计报告,采掘业,Wind房地产,A股
000557.SZ,ST银广夏,2002/5/8,银广夏A,ST银广夏,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,医药、生物制品,Wind食品、饮料与烟草,A股
000013.SZ,*ST石化A,2002/5/8,深石化A,ST石化A,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,A股
200013.SZ,*ST石化B,2002/5/8,深石化B,ST石化B,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,B股
000544.SZ,中原环保,2002/5/8,豫白鸽A,ST白鸽,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,金属、非金属,Wind公用事业Ⅱ,A股
000682.SZ,东方电子,2002/5/8,东方电子,ST东方,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,信息技术业,Wind资本货物,A股
600799.SH,*ST龙科,2002/5/8,科利华,ST龙科,被注册会计师出具无法表示意见或否定意见的审计报告,,,A股
000738.SZ,ST宇航,2002/4/30,南方摩托,ST南摩,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
000412.SZ,ST五环,2002/4/30,北方五环,ST五环,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,,,A股
000150.SZ,宜华地产,2002/4/30,麦科特,ST麦科特,被注册会计师出具无法表示意见或否定意见的审计报告,房地产业,Wind房地产,A股
000620.SZ,S*ST圣方,2002/4/30,圣方科技,ST圣方科,被注册会计师出具无法表示意见或否定意见的审计报告,石油、化学、塑胶、塑料,Wind能源Ⅱ,A股
